"SearchKey","Name","Description","Type","Sign","Document","Summary","Default","Parent","Level","Operands"
"1","Aktiva",,"Asset","D","No","Yes",,,"C",
"11","Aktiva Lancar",,"Asset","D","No","Yes",,1,"D",
"111","Kas dan Setara Kas",,"Asset","D","No","Yes",,11,"E",
"11110","Kas",,"Asset","D","Yes","No","CB_ASSET_ACCT",111,"S",
"11120","Bank",,"Asset","D","Yes","No","B_ASSET_ACCT",111,"S",
"11130","Kas Dalam Perjalanan",,"Asset","D","Yes","No","CB_CASHTRANSFER_ACCT",111,"S",
"11140","Bank Dalam Perjalanan",,"Asset","D","Yes","No","B_INTRANSIT_ACCT",111,"S",
"112","Piutang",,"Asset","D","No","Yes",,11,"E",
"11210","Piutang Usaha",,"Asset","D","Yes","No","C_RECEIVABLE_ACCT",112,"S",
"11220","Piutang Pajak",,"Asset","D","Yes","No","T_CREDIT_ACCT",112,"S",
"113","Persediaan",,"Asset","D","No","Yes",,11,"E",
"11310","Persediaan",,"Asset","D","Yes","No","P_ASSET_ACCT",113,"S",
"11320","Persediaan Dalam Proses",,"Asset","D","Yes","No",,113,"S",
"114","Biaya Dibayar Dimuka",,"Asset","D","No","Yes",,11,"E",
"11410","Asuransi dibayar dimuka",,"Asset","D","Yes","No",,114,"S",
"11420","Sewa dibayar dimuka",,"Asset","D","Yes","No",,114,"S",
"11430","Bunga dibayar dimuka",,"Asset","D","Yes","No",,114,"S",
"11440","Lain-lain dibayar dimuka",,"Asset","D","Yes","No",,114,"S",
"115","Pembayaran Dimuka",,"Asset","D","No","Yes",,11,"E",
"11510","Uang Muka Vendor",,"Asset","D","Yes","No",,115,"S",
"11520","Beban Karyawan dibayar dimuka",,"Asset","D","Yes","No",,115,"S",
"12","Aktiva Tetap",,"Asset","D","No","Yes",,1,"D",
"121","Tanah dan Bangunan",,"Asset","D","No","Yes",,12,"E",
"12110","Tanah",,"Asset","D","Yes","No",,121,"S",
"12120","Bangunan",,"Asset","D","Yes","No",,121,"S",
"122","Aktiva Tetap Lainnya",,"Asset","D","No","Yes",,12,"E",
"12210","Kendaraan",,"Asset","D","Yes","No",,122,"S",
"12220","Perlengkapan",,"Asset","D","Yes","No",,122,"S",
"12230","Merek Dagang",,"Asset","D","Yes","No",,122,"S",
"12240","Hak Cipta",,"Asset","D","Yes","No",,122,"S",
"129","Akumulasi Depresiasi",,"Asset","D","No","Yes",,12,"E",
"12900","Akumulasi Depresiasi",,"Asset","D","Yes","No","A_ACCUMDEPRECIATION_ACCT",129,"S",
"2","Utang",,"Liability","C","No","Yes",,,"C",
"21","Utang Lancar",,"Liability","C","No","Yes",,2,"D",
"211","Utang Usaha",,"Liability","C","No","Yes",,21,"E",
"21100","Utang Usaha",,"Liability","C","Yes","No","V_LIABILITY_ACCT",211,"S",
"212","Utang Lancar lainnya",,"Liability","C","No","Yes",,21,"E",
"21210","Utang Pajak",,"Liability","C","Yes","No","T_DUE_ACCT",212,"S",
"21220","Utang Bunga",,"Liability","C","Yes","No",,212,"S",
"21230","Tagihan Belum Difakturkan","Not invoiced receipts","Liability","C","Yes","No","NOTINVOICEDRECEIPTS_ACCT",212,"S",
"21240","Utang Gaji",,"Liability","C","Yes","No",,212,"S",
"22","Utang Jangka Panjang",,"Liability","C","No","Yes",,2,"D",
"221","Utang Jangka Panjang",,"Liability","C","No","Yes",,22,"E",
"22110","Pinjaman Jangka Panjang",,"Liability","C","Yes","No",,221,"S",
"22120","Obligasi",,"Liability","C","Yes","No",,221,"S",
"3","Modal",,"Owner's Equity","C","No","Yes",,,"C",
"31","Modal",,"Owner's Equity","C","No","Yes",,3,"D",
"311","Modal Disetor",,"Owner's Equity","C","No","Yes",,31,"E",
"31110","Saham Biasa",,"Owner's Equity","C","Yes","No",,311,"S",
"31120","Saham Istimewa",,"Owner's Equity","C","Yes","No",,311,"S",
"31130","Prive",,"Owner's Equity","D","Yes","No",,311,"S",
"33","Laba",,"Owner's Equity","C","No","Yes",,3,"D",
"331","Laba Ditahan","Retained Earning Acct ","Owner's Equity","C","No","Yes",,33,"E",
"33100","Laba Ditahan","Retained Earning Acct ","Owner's Equity","C","Yes","No","RETAINEDEARNING_ACCT",331,"S",
"332","Ikhtisar Laba Rugi","Income summary","Owner's Equity","C","No","Yes",,33,"E",
"33200","Ikhtisar Laba Rugi","Income summary","Owner's Equity","C","Yes","No","INCOMESUMMARY_ACCT",332,"S",
"39","Total Utang dan Modal","21+22+31+33","Owner's Equity","C","No","Yes",,3,"D","21+22+31+33"
"4","Laporan Laba Rugi",,"Revenue","C","No","Yes",,,"C",
"41","Pendapatan",,"Revenue","C","No","Yes",,4,"D",
"411","Penjualan",,"Revenue","C","No","Yes",,41,"E",
"41100","Penjualan","Product Revenue","Revenue","C","Yes","No","P_REVENUE_ACCT",411,"S",
"41200","Selisih Harga Penjualan",,"Revenue","C","Yes","No",,411,"S",
"42","Pendapatan Kotor",41,"Revenue","C","No","Yes",,4,"D",41
"59","Potongan",,"Expense","D","No","Yes",,4,"D",
"591","Potongan",,"Expense","D","No","Yes",,59,"E",
"59100","Potongan Penjualan",,"Expense","D","Yes","No",,591,"S",
"592","Retur",,"Expense","D","No","Yes",,59,"E",
"59200","Retur",,"Expense","D","Yes","No",,592,"S",
"593","Tunjangan",,"Expense","D","No","Yes",,59,"E",
"59300","Tunjangan",,"Expense","D","Yes","No",,593,"S",
"594","Utang Tak Tertagih","Write-off","Expense","D","No","Yes",,59,"E",
"59400","Utang Tak Tertagih","Write-off","Expense","D","Yes","No","WRITEOFF_ACCT",594,"S",
"44","Pendapatan Bersih","42-59","Revenue","C","No","Yes",,4,"D","42-59"
"51","Harga Pokok Penjualan",,"Expense","D","No","Yes",,4,"D",
"511","Harga Pokok Penjualan Barang",,"Expense","D","No","Yes",,51,"E",
"51100","Harga Pokok Penjualan Barang",,"Expense","D","Yes","No","P_COGS_ACCT",511,"S",
"512","Harga Pokok Penjualan Jasa",,"Expense","D","No","Yes",,51,"E",
"51200","Harga Pokok Penjualan Jasa",,"Expense","D","Yes","No","P_EXPENSE_ACCT",512,"S",
"513","Rugi Selisih Persediaan",,"Expense","D","No","Yes",,51,"E",
"51300","Rugi Selisih Persediaan",,"Expense","D","Yes","No","W_DIFFERENCES_ACCT",513,"S",
"514","Rugi Penyesuaian Persediaan",,"Expense","D","No","Yes",,51,"E",
"51400","Rugi Penyesuaian Persediaan",,"Expense","D","Yes","No",,514,"S",
"515","Selisih Harga Pembelian",,"Expense","D","No","Yes",,51,"E",
"51500","Selisih Harga Pembelian",,"Expense","D","Yes","No",,515,"S",
"516","Biaya Depresiasi",,"Expense","D","No","Yes",,51,"E",
"51600","Biaya Depresiasi",,"Expense","D","Yes","No","A_DEPRECIATION_ACCT",516,"S",
"52","Laba Kotor","44-51","Expense","D","No","Yes",,4,"D","44-51"
"53","Biaya Operasi",,"Expense","D","No","Yes",,4,"D",
"531","Biaya Operasi",,"Expense","D","No","Yes",,53,"E",
"53110","Biaya Penjualan",,"Expense","D","Yes","No",,531,"S",
"53120","Biaya Gaji",,"Expense","D","Yes","No",,531,"S",
"53130","Biaya Pemasaran",,"Expense","D","Yes","No",,531,"S",
"53140","Biaya Sewa",,"Expense","D","Yes","No",,531,"S",
"53150","Biaya Bank","Bank Expense","Expense","D","Yes","No","B_EXPENSE_ACCT",531,"S",
"53160","Biaya Utilitas","Air, Telepon, Listrik, Internet","Expense","D","Yes","No",,531,"S",
"54","Laba Usaha","52-53","Expense","D","No","Yes",,4,"D","52-53"
"45","Pendapatan Lainnya",,"Revenue","C","No","Yes",,4,"D",
"451","Pendapatan Lainnya",,"Revenue","C","No","Yes",,45,"E",
"45110","Pendapatan Bunga",,"Revenue","C","Yes","No",,451,"S",
"45120","Pendapatan Selisih Kurs","Bank Revaluation Gain (foreign currency)","Revenue","C","Yes","No","B_REVALUATIONGAIN_ACCT",451,"S",
"41530","Pendapatan Kas Sementara","Cash book receipts","Revenue","C","Yes","No","CB_RECEIPT_ACCT",451,"S",
"55","Biaya Lainnya",,"Expense","D","No","Yes",,4,"D",
"551","Biaya Lainnya",,"Expense","D","No","Yes",,55,"E",
"55110","Biaya Bunga",,"Expense","D","Yes","No",,551,"S",
"55120","Selisih Kas","Cash Book Differences","Expense","D","Yes","No","CB_DIFFERENCES_ACCT",551,"S",
"55130","Pembulatan","Currency Balancing","Expense","D","Yes","No","CURRENCYBALANCING_ACCT",551,"S",
"55140","Rugi Selisih Kurs","Bank Revaluation Loss (foreign currency)","Expense","D","Yes","No","B_REVALUATIONLOSS_ACCT",551,"S",
"55150","Biaya Beban","Charge Expense","Expense","D","Yes","No","CH_EXPENSE_ACCT",551,"S",
"55160","Biaya Kas Sementara","Cash book expense","Expense","D","Yes","No","CB_EXPENSE_ACCT",551,"S",
"555","Perkiraan Sementara",,"Expense","D","No","Yes",,55,"E",
"55500","Perkiraan Sementara",,"Expense","D","Yes","No","DEFAULT_ACCT",555,"S",
"56","Laba Usaha Sebelum Pajak","54+45-55","Expense","D","No","Yes",,4,"D","54+45-55"
"57","Pajak penghasilan",,"Expense","D","No","Yes",,4,"D",
"571","Pajak penghasilan","Income Tax","Expense","D","No","Yes",,57,"E",
"57100","Pajak penghasilan","Income Tax","Expense","D","Yes","No",,571,"S",
